Make,Year,Condition,Mileage,Price,Seller Rating,Interior color,Drivetrain,Min MPG,Max MPG,Fuel type,Engine Size (L),Accidents or damage,1-owner vehicle
Audi,2022,Used,18169.0,113800.0,4.9,Black/Gray ,AWD,15.0,22.0,Gasoline ,4.0,0.0,False
Mercedes-Benz,2015,Used,80701.0,17340.0,3.9,Beige ,AWD,18.0,22.0,Gasoline ,3.0,0.0,False
Audi,2018,Used,92793.0,16860.0,3.9,Black ,AWD,20.0,28.0,Gasoline ,2.0,1.0,True
Mercedes-Benz,2016,Used,79947.0,19999.0,4.381503720140973,Tan ,AWD,17.0,22.0,Gasoline ,3.5,0.0,False
Toyota,2017,Used,81141.0,19999.0,4.381503720140973,Almond ,FWD,21.0,30.0,Gasoline ,3.5,0.0,True
Ford,2015,Used,44145.0,12982.0,4.3,Charcoal Black ,FWD,40.0,0.0,Gasoline ,2.0,0.0,others
Mercedes-Benz,2020,Used,19111.0,61888.0,4.3,Black ,AWD,21.0,27.0,Gasoline ,3.0,0.0,False
Porsche,2014,Used,18941.0,56888.0,4.3,Platinum ,RWD,20.0,28.0,Gasoline ,3.4,0.0,False
Jeep,2017,Used,30106.0,18998.0,4.6,Black ,FWD,22.0,31.0,Gasoline ,2.4,1.0,True
BMW,2017,Used,74255.0,30999.0,4.381503720140973,Brown ,AWD,20.59922502075837,28.0,Plug-In Hybrid ,2.0,0.0,False
INFINITI,2015,Used,65145.0,19420.0,4.7,Wheat ,AWD,18.0,25.0,Gasoline ,3.7,0.0,False
Nissan,2020,Used,82173.0,18900.0,4.1,Charcoal ,FWD,28.0,39.0,Gasoline ,2.5,1.0,True
Ford,2022,Used,13608.0,20300.0,4.2,Black ,4WD,23.0,29.0,Gasoline ,2.0,0.0,True
Mazda,2023,Used,2621.0,33975.0,4.9,Black ,RWD,26.0,35.0,Gasoline ,2.0,0.0,True
Cadillac,2023,Used,7525.0,53750.0,4.2,Jet Black ,RWD,18.0,27.0,Gasoline ,3.0,0.0,False
Dodge,2014,Used,6031.0,229800.0,4.7,Black ,RWD,12.0,19.0,Gasoline ,8.4,0.0,False
Volkswagen,2014,Used,64910.0,11677.0,4.2,Titan Black ,FWD,42.0,48.0,Hybrid ,1.4,1.0,True
Volkswagen,2018,Used,78284.0,14743.0,4.1,Black ,FWD,24.0,33.0,Gasoline ,1.8,1.0,True
BMW,2021,Certified,31506.0,34995.0,4.5,Black ,AWD,20.59922502075837,28.0,Hybrid ,2.0,0.0,True
Volkswagen,2018,Used,44037.0,18000.0,4.6,Gray ,FWD,26.0,33.0,Gasoline ,2.0,1.0,False
